User Name ,Date,Rating,Content
Ravi Dev Chauhan,2023/10/21,5,Excellent port of the game. Some work needed on UI but the game itself is nice..
Jarrett Sloan,2023/10/27,5,It's been a great time killer. Game had enough variety to keep it interesting after a few runs.
Pontus Malm,2023/07/01,4,5 stars if there was an option to make the screen always pan with the character instead of the panning stopping close to the edge of the map. I've died many times because I didn't see enemies hiding under my thumb while I was hugging the wall.
Matthew Birzer,2023/09/16,5,Very fun. Please update to not let structures spawn on the very edge of the map. Thank you!
Reggae,2023/07/13,5,"One (if not the best) of the best rogielite shooters on the market! Keeps what it promises. It is nearly the same game as the original on PC, only a few updates behind,so the new content takes a bit to be ported, otherwise good port! Definitely worth it's money!"
Tamas Balog,2023/09/23,5,Best rogulike on android at moment but add more content example permanent upgrades or fast play mode where everything 2times faster and option to banish items and weapons from runs please
Malific End,2023/07/14,5,"exactly what I was looking for! reminds me of old crimson wars game on PC, very clean and smooth gameplay, hours of high focus fun. the build and class intricacy is great too, could use a stat tool tip for page 2 stats though"
Cat Tipton,2023/09/13,4,"Good Vamp-like, though I feel like it needs some work on the stage design and music."
Justin Boyd,2023/06/25,1,"Unfair dont buy premium version. The regular version with ads is a much better version of this game it gives you extra things to collect and the ability to watch an add to revive. I bought the premium version, and I would gladly watch a 30-second commercial ad to revive. Both versions are the same game. And if I had known I never would have spent the money"
A Google user,2023/11/05,2,It deviates too much from the PC and Switch version. It could be a lot better.
Taggy,2023/08/17,5,"love this game, definitely worth it, one of my favorite games I've played, and really good replay ability. really underrated."
Lumen,2023/10/16,1,Purchased the game to play offline on holiday in Africa but requires an Internet connection. Why make an singleplayer game require Internet...
El Mi,2023/06/24,4,Lots of non in app purchase unlockables. Satisfying gun sounds. Would be nice if there's a n option to vibrate when taking damage. Sync across android devices also doesn't seem to work very well.
Charles Sims (tim),2023/09/05,4,Pretty good... But needs an update to match the desktop version. Even after the latest update there isn't pocket factory 😕
patrick frøslev,2023/06/28,2,"Was initially really happy with the game until i found out that not all brotatos is available on the premium version. They are available on the ""free"" version, however, now i have to pay the same amount to become a VIP member as the amount i payed for the premium version.."
Robert Smith,2023/08/26,1,The free version first death u can watch 30sec video to respawn not in thus version. I paid to make the game less fun awesome
G_Odu Of the North,2023/06/28,5,"Addictive or Addicting? I dunno, it's one of those. Bought this here, and on pc. Only complaint is that it seems like there are some items missing from this version that are in the full one, but I'm not sure. I give it 5 stars anyway, it's pretty damn good for the price."
Wildan,2023/10/20,1,"Suddenly stuck in ""Checking..."" in the latest version. Please fix it asap! :("
Okrooki,2023/11/08,5,"I didn't expect this game to be so good, a worthy download if your into survival type games."
Val,2023/11/07,2,Bug. Unable to start games as Bull character.
Jared,2023/07/24,2,"Massive downfall is that I paid for brotato premium and lost the ability to continue after dying by watching an ad, not even a free continue before having to watch an ad like most other free games let alone a paid ""premium"" game. Rating will be higher once this has been adjusted"
Satpam Komplek,2023/07/22,1,"Game difficulty spike unreasonably.. Can't even beat Dif 0, this version is not ads based where you can keep reviving by watching ada like the free version. You should adjust the difficulty accordingly.."
Jay Snowden,2023/07/04,3,"Great game, hours of fun. EXCEPT it is hamstrung by some wildly OP boss when you reach higher levels. Half way through your run, no matter how good its going, you will die. gg. Kills the fun and replayability. I heard it's not like this on PC. Devs please fix?!"
Kuroi Kabe,2023/03/29,5,"Played the game on PC first and it seems to be a good port. Most of the content in the original game was ported over, even newer updates. It is a good game to spend some time for long as well as short sessions, because you can just exit the game after a wave and the progress gets saved. New players will have to explore the game on their own, but for that the game is very accessible considering the description of the variables. Besides that there is a lot of variety in chars which is refreshing."
Daniel Ting,2023/10/20,2,Broken by last update. Stuck at checking.
Rami Markus Maunula,2023/09/22,4,Great garliclike that finally runs parallel to the PC version! If I ever see that chef boss again in my life it'll be too soon.
Sean Dwyer,2023/10/21,1,Completely unplayable as melee. I don't understand how it's not just a carbon copy of the steam version. You literally kill yourself by pulling enemies into you.
Damarien Smith,2023/07/23,5,Amazing game with little to no problems. New: for the next update could you be able to choose the songs that play like a playlist.
Corey McCarty,2023/06/23,5,Brotato is a great game I have it for both PC and the phone and normally on a phone controls but they did a really good job formatting it for the phone definitely worth the money hopefully we get the 1.0 update soon!!
Jafar Al-Roubaie,2023/08/15,2,"Love the gameplay but Kishi razer controller controls need a major update. Let me select with the A, let me navigate through the menu with the Dpad. 2 stars since great game but poor kishi integration."
Latham's Toy Box & Toy Review,2023/11/04,5,"So fun,I was sad that I was loosing when I was new,but now I am happy that I am winning and I got to wave 24 on endless more:)"
Da M,2023/05/28,5,"Edit: most of my issues got fixed, nice! Really love the game but there are still some issues with the port: - hitdetection seems of on bosses, especially attack from butcher. Makes runs danager 3+ mostly impossible - fruits don't fly to you when you are damaged, but chests do though. Should be the same as in pc version - save system doesnt work reliably - controls sometimes feel less precise than on pc Overall with these fixes easily five starts!"
Florin Bojedariu,2023/04/01,4,"Great game! Will probably be a 5 stars once they fix some of the bugs (hp pickups not being magnetized when you are missing hp) and optimize some things for mobile (miniboss that appears and that strikes with 4 long slashes feels impossible to dodge with mobile controls, slow down his attack animation a bit so we have the time to react, with a mobile joystick). Other than this, it's a great game and hope the dev will keep supporting it with new characters, maps and other stuff."
error sans error error error,2023/11/09,5,really fun game with cool mechanics! definitely would recommend
Rhyce Pope,2023/09/12,4,"Its decent, but the endless mode isn't really endless it cuts off at wave 27 saying run won 😭🤣"
Davin Friggstad,2023/09/14,5,"It's a fun game. I love the creativity and effort. My uncle got my dad and I into this game, and all three of us love the game."
The QLX,2023/09/21,5,Super fun and replayable game with a lot of playstyle variety.
Hrre Grg,2023/09/22,1,If this game was 99 cents i got my moneys worth for the price i paid was a total scam and rip off
John,2023/08/22,5,"Super fun, and tough as hell. Nothing more really needs to be said."
Dexter Spalding,2023/08/17,5,kinda buggy and it's pretty hard to win with anything except the smg but pretty good
Nicholas Hemling,2023/10/11,5,"free was so good, went and got premium just to help the developers"
Jonathan Lockwood,2023/08/30,5,fun! controls a bit cramped on the screen
Mark Gray,2023/08/23,5,super fun game with no silly spamming friends and begging for money.
cole bobo,2023/06/23,5,Great Port!!!! I've played brotato on pc for months i had this to alert me on the drop. They have done great. Just need to get the pc updates faster lol. I'm playing 1.0 on pc and back to beta on mobile.
shandika louren,2023/06/29,3,"Just like the pc but still buggy and often got annoyed by the ui bug on shop where for some reason your weapon window popped up and you cant close it except you buy an item that's hidden behind the ui, combine your weapon or recycle it"
Ben Morris,2023/07/10,5,"hands down the best game in this genre, no other game comes close to the depth. such a simple but deep concept. executed perfectly."
Collin Gage,2023/07/14,2,"Had the brotato that was early release and paid money in game, the this version is released and there is no progress carryover, the money I spent did not transfer. Frustrating for sure."
SkaReKrow GX,2023/08/01,4,"Great game, I really enjoy the challenge. I would like to see skill trees but hey I'm nitpicking here. If I only have 1 gripe it is that this game NEEDS CONTROLLER SUPPORT!"
Ezequiel Zúñiga,2023/06/27,5,I love this game on my Steam deck ...I just realized that it was released on Android!! it was an immediate buy for me...I love that it looks better on my phone since it has a better screen than the one on my deck.
Juan,2023/07/30,5,"They need to put in a with a warning labe.Brotato is highly addictive. If you want to feel good distraction, definitely get the premium"
Henry Barshevsky,2023/07/22,3,"The absolute basic version of the full game. You can't even end a run without exiting the ""app"". Add some functionality before cashing in"
Nick Doumlele,2023/07/25,5,"I saw a couple of YouTubers playing this game (LethalFrag and Jorbs) and it looked fun. I'm enjoying this version of the game, and my razer kishi 2 worked with it right away."
Jesse Garcia,2023/07/12,5,One of the best paid mobile games. Risk of Rain mixed with Vampire Survivor. No P2W and no MTX. Looking forward to the final release update!
AHappy KenyBear,2023/05/09,5,"I genuinely enjoy the game, it's not all care bear like (meaning to easy) it's actually got some difficulties to it and it's really fun, I don't like many mobile games as I'm a PC gamer but when I die between my matches in games I just play brotato and sometimes I even die on purpose to just finish a wave or collect what I need to unlock a new character. There are many pros and cons to the game but other then that, your game is going in the right direction to being a really top rated game!!"
Alessandro Salvati,2023/04/19,3,"Honestly, I don't like this port. I don't get why it got reprogrammed in Unity losing all modding functionality, when you could have just exported for android like the unofficial port did. Also, the game balance is off. WAY off and way harder. I don't get it. We in the forums don't get it. Still, I'm supporting the original developer so I bought it just the same. Please fix at least the balance. It's completely different from the PC version and much less enjoyable."
Satik Rerkdaochai,2023/07/16,2,"Weapon Damage bug V1.3.19 Every weapon has same damage For example At Lv.1 I select SMG that shot 3 damge to an enemy but when I select Laser gun, it shot 3 damge too. Both weapon description show different damge value. Please fix it asap"
Gerhard Hanekom,2023/04/04,5,"I did buy it for my pc some time back but the game did not play, only showed a black screen with the game music playing. Decided to buy it for mobile since I am addicted to these kinds of games. And I don't regret it even once! Just the one hit deaths suck a little bit but with the right build you can get pretty good. 5 star review from me!"
Kevin Guan,2023/08/13,5,Mindless fun in short bursts. Low learning curve. Easy to pick up and put down. Worth the price.
Eric Mason,2023/05/23,5,"Thoroughly enjoying this. Never played the PC version, though I might give it a go. Only thing I wish was different is that there's no character progression. A run that ends at level 15 nets you absolutely nothing. Seems like there's a good opportunity to let you level up the characters or buy outfits or.... just something."
Ludo Pex,2023/03/28,4,"Awesome to see this game coming to mobile, it feels good, runs smooth and is a lot of fun! The only bug I've encountered it that when I changed settings the game runs like it's in slow motion. But a quick restart of the app fixed it (you can continue your run when you quit or restart the app)"
